,country,commodity,year,food_supply_stage,loss_percentage,cause_of_loss,main_key
68,united states of america,carrots and turnips,1978,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
69,united states of america,carrots and turnips,1979,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
70,united states of america,potatoes,1979,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
71,united states of america,lettuce and chicory,1979,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
72,united states of america,cabbages,1979,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
73,united states of america,"other beans, green",1979,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
74,united states of america,"hen eggs in shell, fresh",1979,whole supply chain,1.87,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
75,pakistan,wheat,1979,harvest,1.605,"chaudhry (1979) estimated 2.01 and 1.2% grain  losses on account of tractor threshing and combine, respectively. the combine harvester not only  minimizes the post-harvest losses but also helps in shortening the harvesting period.",pakistan_wheat_harvest
76,kenya,maize (corn),1979,storage,2.7,insects and rodents,kenya_maize (corn)_storage
77,united states of america,lettuce and chicory,1980,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
78,pakistan,wheat,1980,harvest,4.545,"['bala et al. (1980) also reported  4.09% grain losses of wheat by traditional methods of harvesting and threshing.'
 'the wheat grain losses are classified as i) pre-harvest grain loss due to  the birds, rodents and environmental; ii) harvest grain loss during harvesting of the crop; and iii) postharvest grain loss due to bundling, transporting, threshing and winnowing.  muhammad sattar et al. “grain losses of wheat as affected by different harvesting and threshing  techniques”    harvesting losses with manual wheat harvesting varied from 3 to 7% after ripening of the crop  (iqbalet al., 1980).']",pakistan_wheat_harvest
79,united states of america,carrots and turnips,1980,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
80,united states of america,cabbages,1980,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
81,united states of america,"hen eggs in shell, fresh",1980,whole supply chain,1.83,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
82,united states of america,potatoes,1980,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
83,united states of america,"other beans, green",1980,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
84,pakistan,wheat,1980,farm,3.02125,[],pakistan_wheat_farm
85,united states of america,"hen eggs in shell, fresh",1981,whole supply chain,1.8,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
86,united states of america,"other beans, green",1981,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
87,united states of america,carrots and turnips,1981,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
88,united states of america,lettuce and chicory,1981,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
89,united states of america,cabbages,1981,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
90,united states of america,potatoes,1981,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
91,malawi,maize (corn),1981,storage,2.066666666666667,"['insects    the mean loss of maize sustained by all farmers in the svadp was 3.2 ± 3.4% (sd) calculated by the svw method and 1.8 ± 3.5% (so) calculated by the count and weigh method (table 4).'
 'physical losses    a bag of maize cobs that lost only 3% by weight would also lose 3% in value. to control insect infestation, at least 40g of 2% pirimiphos methyl would be needed for each bag of cobs. this would cost 4% of the cob value and would not completely eliminate the infestation or the damage.']",malawi_maize (corn)_storage
92,united states of america,potatoes,1982,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
93,united states of america,"hen eggs in shell, fresh",1982,whole supply chain,1.77,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
94,united states of america,lettuce and chicory,1982,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
95,united states of america,carrots and turnips,1982,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
96,united states of america,cabbages,1982,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
97,united states of america,"other beans, green",1982,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
98,united states of america,cabbages,1983,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
99,united states of america,carrots and turnips,1983,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
100,united states of america,lettuce and chicory,1983,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
101,united states of america,potatoes,1983,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
102,pakistan,wheat,1983,harvest,3.67,"bukhariet al. (1983) found that the average grain losses during conventional harvesting, bundling,  transporting, threshing, winnowing and cleaning were 3.67, 3.98, 0.24, 1.18, 2.46, and 4.53%,  respectively",pakistan_wheat_harvest
103,pakistan,wheat,1983,farm,3.065,winnowing,pakistan_wheat_farm
104,united states of america,"hen eggs in shell, fresh",1983,whole supply chain,1.73,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
105,united states of america,orange juice,1983,whole supply chain,46.4798,[],united states of america_orange juice_whole supply chain
106,united states of america,"other beans, green",1983,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
107,united states of america,carrots and turnips,1984,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
108,pakistan,wheat,1984,storage,9.5,[],pakistan_wheat_storage
109,pakistan,wheat,1984,harvest,13.2,[],pakistan_wheat_harvest
110,united states of america,"hen eggs in shell, fresh",1984,whole supply chain,1.7,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
111,united states of america,lettuce and chicory,1984,whole supply chain,8.5,[],united states of america_lettuce and chicory_whole supply chain
112,united states of america,orange juice,1984,whole supply chain,49.4036,[],united states of america_orange juice_whole supply chain
113,united states of america,cabbages,1984,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
114,united states of america,potatoes,1984,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
115,united states of america,"other beans, green",1984,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
116,united states of america,lettuce and chicory,1985,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
117,united states of america,potatoes,1985,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
118,united states of america,"hen eggs in shell, fresh",1985,whole supply chain,1.67,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
119,united states of america,"other beans, green",1985,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
120,pakistan,wheat,1985,harvest,2.1,"['manual harvesting'
 'zafarullah (1985) observed 2.1% total manual harvesting  losses']",pakistan_wheat_harvest
121,pakistan,wheat,1985,storage,14.25,[],pakistan_wheat_storage
122,united states of america,carrots and turnips,1985,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
123,united states of america,cabbages,1985,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
124,united states of america,orange juice,1985,whole supply chain,48.3376,[],united states of america_orange juice_whole supply chain
125,united states of america,carrots and turnips,1986,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
126,united states of america,cabbages,1986,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
127,united states of america,"hen eggs in shell, fresh",1986,whole supply chain,1.63,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
128,united states of america,"other beans, green",1986,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
129,united states of america,orange juice,1986,whole supply chain,47.3694,[],united states of america_orange juice_whole supply chain
130,pakistan,wheat,1986,storage,4.7,"['4 months storage in house type godowns'
 'losses due to rodents in godown warehouses' 'public and private storage']",pakistan_wheat_storage
131,united states of america,potatoes,1986,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
132,united states of america,lettuce and chicory,1986,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
133,united states of america,orange juice,1987,whole supply chain,44.3356,[],united states of america_orange juice_whole supply chain
134,china,rice,1987,storage,1.82,['insects' 'mold' 'rodents'],china_rice_storage
135,united states of america,"other beans, green",1987,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
136,pakistan,wheat,1987,farm,4.65,reapers,pakistan_wheat_farm
137,benin,maize (corn),1987,storage,2.5,traditional granaries,benin_maize (corn)_storage
138,united states of america,grapefruit juice,1987,whole supply chain,48.64,[],united states of america_grapefruit juice_whole supply chain
139,united states of america,"hen eggs in shell, fresh",1987,whole supply chain,1.6,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
140,pakistan,wheat,1987,harvest,4.8500000000000005,"['amri (1987) found  2.2% wheat losses for combine as compared to 4.65% for reapers and about 7.5% for manual  harvesting.'
 'combine' 'manual']",pakistan_wheat_harvest
141,ghana,maize (corn),1987,storage,19.95,[],ghana_maize (corn)_storage
142,united states of america,cabbages,1987,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
143,indonesia,rice,1987,processing,21.0,machine damagesmall scale,indonesia_rice_processing
144,united states of america,potatoes,1987,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
145,united states of america,lettuce and chicory,1987,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
146,united states of america,carrots and turnips,1987,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
147,united states of america,orange juice,1988,whole supply chain,42.1167,[],united states of america_orange juice_whole supply chain
148,united states of america,carrots and turnips,1988,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
149,pakistan,wheat,1988,harvest,1.975,"['singh et al. (1988) tested three tractor front mounted reapers, manufactured locally by fmi,  amri and ittefaq on wheat crop in pakistan. the wheat grain losses with these reapers were 1.19,  2.63 and 2.76%, respectively.'
 'tractors with front end reapers']",pakistan_wheat_harvest
150,united states of america,grapefruit juice,1988,whole supply chain,47.6009,[],united states of america_grapefruit juice_whole supply chain
151,united states of america,cabbages,1988,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
152,united states of america,"other beans, green",1988,whole supply chain,6.0,[],"united states of america_other beans, green_whole supply chain"
153,united states of america,"hen eggs in shell, fresh",1988,whole supply chain,1.57,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
154,united states of america,lettuce and chicory,1988,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
155,united states of america,potatoes,1988,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
156,united states of america,orange juice,1989,whole supply chain,42.3322,[],united states of america_orange juice_whole supply chain
157,united states of america,carrots and turnips,1989,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
158,united states of america,cabbages,1989,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
159,united states of america,potatoes,1989,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
160,united states of america,lettuce and chicory,1989,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
161,united states of america,"hen eggs in shell, fresh",1989,whole supply chain,1.53,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
162,united states of america,"other beans, green",1989,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
163,united states of america,grapefruit juice,1989,whole supply chain,46.2226,[],united states of america_grapefruit juice_whole supply chain
164,united states of america,cabbages,1990,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
165,united states of america,"hen eggs in shell, fresh",1990,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
166,united states of america,grapefruit juice,1990,whole supply chain,46.0601,[],united states of america_grapefruit juice_whole supply chain
167,united states of america,lettuce and chicory,1990,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
168,united states of america,potatoes,1990,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
169,united states of america,carrots and turnips,1990,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
170,united states of america,"other beans, green",1990,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
171,united states of america,grapefruit juice,1991,whole supply chain,47.1118,[],united states of america_grapefruit juice_whole supply chain
172,united states of america,orange juice,1991,whole supply chain,46.6371,[],united states of america_orange juice_whole supply chain
173,pakistan,wheat,1991,farm,2.025,"the wheat grain losses are classified as i) pre-harvest grain loss due to  the birds, rodents and environmental; ii) harvest grain loss during harvesting of the crop; and iii) postharvest grain loss due to bundling, transporting, threshing and winnowing.  muhammad sattar et al. “grain losses of wheat as affected by different harvesting and threshing  techniques”    similarly ibupotoet al. (1991) investigated that average grain losses for traditional  methods during pre-harvest, harvest and post harvest stages were 10.9, 29 and 122.9 kg ha-1  or 0.28%,  0.77% and 3.28%, respectively",pakistan_wheat_farm
174,pakistan,wheat,1991,harvest,0.77,"the wheat grain losses are classified as i) pre-harvest grain loss due to  the birds, rodents and environmental; ii) harvest grain loss during harvesting of the crop; and iii) postharvest grain loss due to bundling, transporting, threshing and winnowing.  muhammad sattar et al. “grain losses of wheat as affected by different harvesting and threshing  techniques”    similarly ibupotoet al. (1991) investigated that average grain losses for traditional  methods during pre-harvest, harvest and post harvest stages were 10.9, 29 and 122.9 kg ha-1  or 0.28%,  0.77% and 3.28%, respectively",pakistan_wheat_harvest
175,united states of america,cabbages,1991,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
176,united states of america,potatoes,1991,whole supply chain,8.5,[],united states of america_potatoes_whole supply chain
177,united states of america,lettuce and chicory,1991,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
178,united states of america,"hen eggs in shell, fresh",1991,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
179,united states of america,"other beans, green",1991,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
180,united states of america,carrots and turnips,1991,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
181,united states of america,orange juice,1992,whole supply chain,42.5506,[],united states of america_orange juice_whole supply chain
182,united states of america,carrots and turnips,1992,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
183,united states of america,potatoes,1992,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
184,united states of america,"other beans, green",1992,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
185,united states of america,"hen eggs in shell, fresh",1992,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
186,united states of america,lettuce and chicory,1992,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
187,united states of america,grapefruit juice,1992,whole supply chain,46.5656,[],united states of america_grapefruit juice_whole supply chain
188,united states of america,cabbages,1992,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
189,united states of america,grapefruit juice,1993,whole supply chain,46.9751,[],united states of america_grapefruit juice_whole supply chain
190,india,potatoes,1993,farm,18.0,[],india_potatoes_farm
191,united states of america,"hen eggs in shell, fresh",1993,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
192,united states of america,"other beans, green",1993,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
193,united states of america,lettuce and chicory,1993,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
194,united states of america,potatoes,1993,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
195,china,rice,1993,storage,8.0,[],china_rice_storage
196,india,tomatoes,1993,farm,13.0,[],india_tomatoes_farm
197,india,"mangoes, guavas and mangosteens",1993,farm,20.0,[],"india_mangoes, guavas and mangosteens_farm"
198,united states of america,carrots and turnips,1993,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
199,united states of america,orange juice,1993,whole supply chain,40.7758,[],united states of america_orange juice_whole supply chain
200,united states of america,cabbages,1993,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
201,pakistan,wheat,1994,farm,1.795,"but this varies by variety 2.19% loss left on threshing floors from tractor phalla type of threshing, 2.1% from bullock threshing, 1.4% from mechanical threshing",pakistan_wheat_farm
202,pakistan,wheat,1994,harvest,2.7,[],pakistan_wheat_harvest
203,pakistan,wheat,1994,storage,2.25,storage weight losses in public sector stores,pakistan_wheat_storage
204,united states of america,lettuce and chicory,1994,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
205,united states of america,"other beans, green",1994,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
206,united states of america,"hen eggs in shell, fresh",1994,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
207,united states of america,orange juice,1994,whole supply chain,41.24,[],united states of america_orange juice_whole supply chain
208,benin,maize (corn),1994,storage,14.825,pests,benin_maize (corn)_storage
209,united states of america,potatoes,1994,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
210,united states of america,grapefruit juice,1994,whole supply chain,46.8327,[],united states of america_grapefruit juice_whole supply chain
211,united states of america,cabbages,1994,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
212,united states of america,carrots and turnips,1994,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
213,united states of america,"other beans, green",1995,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
214,united states of america,orange juice,1995,whole supply chain,42.5257,[],united states of america_orange juice_whole supply chain
215,pakistan,wheat,1995,storage,11.8,"['losses due to rodents in godown warehouses'
 'public sector storage losses due to rodents']",pakistan_wheat_storage
216,united states of america,carrots and turnips,1995,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
217,benin,maize (corn),1995,storage,4.3,[],benin_maize (corn)_storage
218,united states of america,cabbages,1995,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
219,united states of america,grapefruit juice,1995,whole supply chain,47.6616,[],united states of america_grapefruit juice_whole supply chain
220,united states of america,"hen eggs in shell, fresh",1995,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
221,united states of america,potatoes,1995,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
222,united states of america,lettuce and chicory,1995,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
223,united states of america,"hen eggs in shell, fresh",1996,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
224,united states of america,lettuce and chicory,1996,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
225,united states of america,grapefruit juice,1996,whole supply chain,47.5181,[],united states of america_grapefruit juice_whole supply chain
226,united states of america,cabbages,1996,whole supply chain,7.5,[],united states of america_cabbages_whole supply chain
227,united states of america,potatoes,1996,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
228,united states of america,carrots and turnips,1996,whole supply chain,3.0,[],united states of america_carrots and turnips_whole supply chain
229,united states of america,orange juice,1996,whole supply chain,42.6613,[],united states of america_orange juice_whole supply chain
230,united states of america,"other beans, green",1996,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
231,united states of america,cabbages,1997,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
232,united states of america,"other beans, green",1997,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
233,united states of america,"hen eggs in shell, fresh",1997,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
234,united states of america,lettuce and chicory,1997,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
235,united states of america,carrots and turnips,1997,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
236,united states of america,potatoes,1997,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
237,united states of america,orange juice,1997,whole supply chain,42.3977,[],united states of america_orange juice_whole supply chain
238,benin,maize (corn),1997,storage,9.5,[],benin_maize (corn)_storage
239,united states of america,grapefruit juice,1997,whole supply chain,46.3309,[],united states of america_grapefruit juice_whole supply chain
240,united states of america,carrots and turnips,1998,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
241,united states of america,potatoes,1998,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
242,benin,maize (corn),1998,storage,19.75,moisture content and insects,benin_maize (corn)_storage
243,united states of america,lettuce and chicory,1998,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
244,united states of america,orange juice,1998,whole supply chain,41.2242,[],united states of america_orange juice_whole supply chain
245,ghana,maize (corn),1998,storage,12.066666666666668,pests,ghana_maize (corn)_storage
246,united states of america,"hen eggs in shell, fresh",1998,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
247,united states of america,"other beans, green",1998,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
248,ethiopia,maize (corn),1998,storage,7.76,"['storage loss ( 4%) 98,314 t  traders (4%) traders   storage loss (9%) 584,347 t  farms (4.5%) farmers'
 'table 3: storage losses (%) by crop in amltara, oromyla and southern regions of ethiopia'
 'the main causes of storage loss in order of importance are moisture , rodents and spillage ( dessalegn et a ! 1998 ) . the loss due to moisture\', ""in bulk .    early onset of mould damage may be unusual , in view of the rain at harvest and the subsequent difficulties that many farmers faced in drying their grain this season . mould damage is regarded by local farmers as more of an inconvenience than\', \'grain this season . mould damage is regarded by local farmers as more of an inconvenience than a loss , since all the grain will be used for food or for brewing after washing to remove visible\','
 'there was considerable variation in the levels ofloss between crops. in wheat and  barley they were very low (around 1 %). these crops are typically grown at the higher  altitudes, where insect activity is low and storage periods are short (3-4 months).  sorghum and maize suffered higher losses (4-6%). however, it was demonstrated  that correct application of storage insecticides achieved a significant reduction of  losses in maize (to 0.5%). losses in beans were very variable (<1%- 15%).']",ethiopia_maize (corn)_storage
249,united states of america,cabbages,1998,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
